postcodes,local_total,local_ai,local_density,LQ,latitude,longitude
AB54,1,1,1.0,42.33303563948674,57.388575581395344,-2.813441860465116
TS14,1,1,1.0,42.33303563948674,54.5348,-1.0561
BT20,1,1,1.0,42.33303563948674,54.6534,-5.6689
BT66,1,1,1.0,42.33303563948674,54.453314285714285,-6.348928571428572
BT7,1,1,1.0,42.33303563948674,54.58144,-5.9185
BT70,1,1,1.0,42.33303563948674,54.51206,-6.93335
BT8,1,1,1.0,42.33303563948674,54.55041666666667,-5.9068
NW5,1,1,1.0,42.33303563948674,51.5517,-0.1413
NE23,1,1,1.0,42.33303563948674,55.067877777777774,-1.560788888888889
EC2N,3,3,1.0,42.33303563948674,51.5163,-0.0875
EH44,1,1,1.0,42.33303563948674,55.6102,-3.0634
LL15,1,1,1.0,42.33303563948674,53.09201875,-3.3377625
FK9,1,1,1.0,42.33303563948674,56.1436875,-3.9315
IP2,1,1,1.0,42.33303563948674,52.0452,1.1247
HX66,1,1,1.0,42.33303563948674,,
GU22,1,1,1.0,42.33303563948674,51.3157,-0.535
HD3,1,1,1.0,42.33303563948674,53.653825,-1.845025
TN32,1,1,1.0,42.33303563948674,50.97844545454545,0.4924
CV47,1,1,1.0,42.33303563948674,52.2527,-1.3884
AL9,1,1,1.0,42.33303563948674,51.74751428571428,-0.1921714285714285
W1C,2,2,1.0,42.33303563948674,51.5085,-0.1257
TW4,1,1,1.0,42.33303563948674,51.4684,-0.3609
PE9,72,67,0.9305555555555556,39.39324149785572,52.66193703703704,-0.4629999999999999
PL31,48,44,0.9166666666666666,38.80528266952951,50.4715,-4.7243
NE12,26,23,0.8846153846153846,37.44845460416134,55.029,-1.5676
YO10,37,32,0.8648648648648649,36.61235514766421,53.9576,-1.0827
EC1Y,66,53,0.803030303030303,33.994710437769655,51.5232,-0.0933
GL51,57,41,0.7192982456140351,30.450078266999235,51.90277692307692,-2.1239538461538463
TW9,86,59,0.686046511627907,29.04243142708974,51.47153333333333,-0.2963666666666666
HU13,3,2,0.6666666666666666,28.222023759657823,53.7245,-0.4384
SK7,34,21,0.6176470588235294,26.146874953800634,53.3582,-2.1496
WC1X,43,26,0.6046511627906976,25.596719223875702,51.5085,-0.1257
RG7,7,4,0.5714285714285714,24.190306079706705,51.40035833333334,-1.0685638888888889
TN8,16,9,0.5625,23.81233254721129,51.193193333333326,0.0983199999999999
WF12,2,1,0.5,21.16651781974337,53.68023333333334,-1.6275333333333333
CT14,2,1,0.5,21.16651781974337,51.21555714285714,1.369478571428571
LL77,2,1,0.5,21.16651781974337,53.27263333333334,-4.3066
DA11,4,2,0.5,21.16651781974337,51.4349,0.3513
HP16,2,1,0.5,21.16651781974337,51.7092125,-0.7189749999999999
CV8,2,1,0.5,21.16651781974337,52.35924166666666,-1.5064916666666666
CM15,2,1,0.5,21.16651781974337,51.65616666666667,0.3137
DA4,2,1,0.5,21.16651781974337,51.3884,0.22812
BN99,2,1,0.5,21.16651781974337,50.8202,-0.366
PL2,2,1,0.5,21.16651781974337,50.3715,-4.143
RG24,2,1,0.5,21.16651781974337,51.28745,-1.08155
TD7,2,1,0.5,21.16651781974337,55.53199655172413,-2.8854172413793107
SA48,2,1,0.5,21.16651781974337,52.154116,-4.1118
YO60,2,1,0.5,21.16651781974337,54.075300000000006,-0.91436
NN9,2,1,0.5,21.16651781974337,52.33031,-0.61577
BB9,2,1,0.5,21.16651781974337,53.84652,-2.21094
BR2,2,1,0.5,21.16651781974337,51.370025,0.02375
SK23,2,1,0.5,21.16651781974337,53.33156666666667,-1.9448333333333332
SL1,9,4,0.4444444444444444,18.81468250643855,51.52121999999999,-0.63036
CF24,149,62,0.4161073825503356,17.6150886553569,51.48,-3.18
DE23,5,2,0.4,16.933214255794695,52.8945,-1.49505
KT2,5,2,0.4,16.933214255794695,51.4186,-0.2904
RH19,5,2,0.4,16.933214255794695,51.11741818181818,-0.0221727272727272
ME20,5,2,0.4,16.933214255794695,51.30302,0.46184
EC3R,74,27,0.36486486486486486,15.445837327920836,51.5114,-0.0855
N18,3,1,0.3333333333333333,14.111011879828911,51.61735,-0.0583
EX6,3,1,0.3333333333333333,14.111011879828911,50.692424,-3.593716
YO12,3,1,0.3333333333333333,14.111011879828911,54.231975,-0.4602125
IP5,3,1,0.3333333333333333,14.111011879828911,52.064166666666665,1.2246333333333332
HD4,3,1,0.3333333333333333,14.111011879828911,53.6239,-1.7485
WS13,3,1,0.3333333333333333,14.111011879828911,52.6953,-1.8076555555555556
L5,3,1,0.3333333333333333,14.111011879828911,53.4106,-2.9779
YO18,3,1,0.3333333333333333,14.111011879828911,54.28570666666667,-0.77206
NE2,3,1,0.3333333333333333,14.111011879828911,54.9867,-1.592
GU8,3,1,0.3333333333333333,14.111011879828911,51.165735,-0.6563749999999999
NG34,3,1,0.3333333333333333,14.111011879828911,52.960240909090906,-0.3849454545454545
NN10,3,1,0.3333333333333333,14.111011879828911,52.28803333333334,-0.5993
HD8,3,1,0.3333333333333333,14.111011879828911,53.59509166666667,-1.665125
CM23,6,2,0.3333333333333333,14.111011879828911,51.89539,0.15618
RH5,3,1,0.3333333333333333,14.111011879828911,51.190875,-0.345135
RM6,3,1,0.3333333333333333,14.111011879828911,51.5758,0.1299
CA2,3,1,0.3333333333333333,14.111011879828911,54.8695,-2.9516000000000004
SG12,3,1,0.3333333333333333,14.111011879828911,51.81926666666666,-0.0074866666666666
CA28,3,1,0.3333333333333333,14.111011879828911,54.55781666666667,-3.5837
RG9,3,1,0.3333333333333333,14.111011879828911,51.56040285714285,-0.9210371428571428
DN37,3,1,0.3333333333333333,14.111011879828911,53.53472105263158,-0.1769421052631579
CM7,6,2,0.3333333333333333,14.111011879828911,51.90884074074074,0.4992444444444444
CT20,3,1,0.3333333333333333,14.111011879828911,51.0746,1.1448
SS12,3,1,0.3333333333333333,14.111011879828911,51.60306666666667,0.5263666666666666
